program executed sucessfully with return code: 0
clock :63 fetch (sw 8 12 0)  decode (add 8 12 0)  execute (NOPE)  write_back(NOPE ) 

clock :64 fetch (sw 8 12 0)  decode (NOPE)  execute (add 8 12 0)  write_back(NOPE ) 

clock :65 fetch (sw 8 12 0)  decode (NOPE)  execute (NOPE)  write_back (add 8 8 0) 

clock :66 fetch (sw 8 8 0)  decode (NOPE)  execute (NOPE)  write_back(NOPE ) 

clock :67 fetch (addi 8 0 8)  decode (sw 8 0 8)  execute (NOPE)  write_back(NOPE ) 

clock :68 fetch (addi 8 0 8)  decode (NOPE)  execute (sw 8 0 8)  write_back(NOPE ) 

clock :69 fetch (addi 8 0 8)  decode (NOPE)  execute (NOPE)  write_back (sw 8 0 8) 

clock :70 fetch (addi 8 0 8)  decode (NOPE)  execute (NOPE)  write_back(NOPE ) 

clock :71 fetch (bne 8 0 0)  decode (addi 8 0 0)  execute (NOPE)  write_back(NOPE ) 

clock :72 fetch (bne 8 0 0)  decode (NOPE)  execute (addi 8 0 0)  write_back(NOPE ) 

clock :73 fetch (bne 8 0 0)  decode (NOPE)  execute (NOPE)  write_back (addi 4 0 0) 

clock :74 fetch (bne 4 0 0)  decode (NOPE)  execute (NOPE)  write_back(NOPE ) 

clock :75 fetch (lw 4 0 8)  decode (bne 4 0 8)  execute (NOPE)  write_back(NOPE ) 

clock :76 fetch (lw 4 0 8)  decode (NOPE)  execute (bne 4 0 8)  write_back(NOPE ) 

clock :77 fetch (lw 4 0 8)  decode (NOPE)  execute (NOPE)  write_back(NOPE ) 

clock :78 fetch (add 8 0 8)  decode (lw 8 0 8)  execute (NOPE)  write_back(NOPE ) 

clock :79 fetch (add 8 0 8)  decode (NOPE)  execute (lw 8 0 8)  write_back(NOPE ) 

clock :80 fetch (add 8 0 8)  decode (NOPE)  execute (NOPE)  write_back (lw 4 0 8) 

clock :81 fetch (add 4 0 8)  decode (NOPE)  execute (NOPE)  write_back(NOPE ) 

